# L=15, N=15, T=1.0, sym gs
# S1
#          U                     n=0                     n=1                     n=2                     n=3                     n=4                     n=5                     n=6                     n=7                     n=8                     n=9                    n=10                    n=11                    n=12                    n=13                    n=14                    n=15
   32.745492      9.798261097596E-34      2.455729171731E-32      1.011959767298E-23      9.601941712930E-16      4.763832928817E-10      4.431988651608E-05      2.346755846339E-02      7.544182630629E-03      2.346755846339E-02      4.431988652083E-05      4.763833208181E-10      9.601948605634E-16      1.012046205107E-23      2.388011513936E-32      8.081016250813E-34      7.072516771308E-34
   35.111917      4.380046360192E-33      4.832381595736E-33      2.896734258966E-24      4.215942401923E-16      2.774575445977E-10      3.421100480298E-05      2.086143155808E-02      6.553530333663E-03      2.086143155808E-02      3.421100480459E-05      2.774575536584E-10      4.215944143034E-16      2.896907506633E-24      5.296205175074E-33      1.809356274220E-34      3.613106694275E-33
   37.649358      4.136675311760E-32      1.916912080470E-33      8.304987458154E-25      1.852030458082E-16      1.616081247719E-10      2.640137708316E-05      1.853626383406E-02      5.693704506092E-03      1.853626383406E-02      2.640137708371E-05      1.616081277124E-10      1.852030897808E-16      8.305336454469E-25      3.512350076999E-33      5.799329280862E-34      3.510037734297E-32
   40.370173      1.051763342900E-32      8.581898652851E-33      2.384285573884E-25      8.139055696353E-17      9.413168973804E-11      2.036932721346E-05      1.646303883787E-02      4.947266415345E-03      1.646303883787E-02      2.036932721364E-05      9.413169069294E-11      8.139056806696E-17      2.384356217265E-25      2.416283891945E-33      7.736242862648E-33      7.761938372581E-33
   43.287613      2.818793196177E-32      1.111989427810E-33      6.853008895240E-26      3.577942017703E-17      5.482732326627E-11      1.571133492358E-05      1.461554030956E-02      4.299136618764E-03      1.461554030956E-02      1.571133492364E-05      5.482732357656E-11      3.577942298019E-17      6.853152946646E-26      1.658949698230E-33      4.474243531830E-34      2.388634402007E-32
   46.415888      3.181248122660E-34      1.995023365629E-35      1.971662324728E-26      1.573230768124E-17      3.193243236932E-11      1.211528671711E-05      1.297011352275E-02      3.736268451258E-03      1.297011352275E-02      1.211528671713E-05      3.193243247021E-11      1.573230838879E-17      1.971691663243E-26      4.532720573333E-35      6.217493332545E-36      2.653090479240E-34
   49.770236      2.030520102635E-33      2.331522315788E-34      5.677347648055E-27      6.918671353530E-18      1.859637692477E-11      9.339792731816E-06      1.150544153587E-02      3.247368199213E-03      1.150544153587E-02      9.339792731823E-06      1.859637695760E-11      6.918671532085E-18      5.677407987680E-27      3.059436120423E-34      1.190240140824E-34      1.677811456268E-33
   53.366992      5.869529110301E-33      2.264804397293E-34      1.635919335440E-27      3.042983285998E-18      1.082868520746E-11      7.198186907024E-06      1.020233648811E-02      2.822654990909E-03      1.020233648811E-02      7.198186907027E-06      1.082868521815E-11      3.042983331048E-18      1.635931736949E-27      7.139211997265E-34      5.995493684701E-35      4.948102084486E-33
   57.223677      7.062495093143E-33      9.261270294813E-35      4.716618366440E-28      1.338449872705E-18      6.304717223693E-12      5.546146215655E-06      9.043545786089E-03      2.453654528633E-03      9.043545786089E-03      5.546146215655E-06      6.304717227173E-12      1.338449884069E-18      4.716645121842E-28      1.016621489350E-33      5.297020478718E-35      5.910879383541E-33
   61.359073      2.366948232412E-34      2.159966533737E-35      1.360517588746E-28      5.887251081105E-19      3.670210493068E-12      4.272108504541E-06      8.013572814157E-03      2.133021701448E-03      8.013572814157E-03      4.272108504541E-06      3.670210494203E-12      5.887251109764E-19      1.360522836115E-28      7.600038454610E-35      9.064664127665E-36      1.955321706263E-34
   65.793322      2.368316225600E-33      5.824772065165E-35      3.926050926073E-29      2.589499645802E-19      2.136220674243E-12      3.289855615628E-06      7.098511647091E-03      1.854387881386E-03      7.098511647091E-03      3.289855615628E-06      2.136220674612E-12      2.589499653028E-19      3.926078452970E-29      6.153731785665E-34      5.643812246485E-35      1.938586001759E-33
   70.548023      1.106065906211E-34      9.457280952614E-36      1.133243078624E-29      1.138935961813E-19      1.243158434161E-12      2.532772407560E-06      6.285895136728E-03      1.612229345526E-03      6.285895136728E-03      2.532772407560E-06      1.243158434282E-12      1.138935963634E-19      1.133247872474E-29      1.935595839398E-35      4.215206859398E-36      8.811244640699E-35
   75.646333      8.339788884662E-35      1.070002088484E-35      3.271929667633E-30      5.009014002690E-20      7.233167057930E-13      1.949403223095E-06      5.564555673303E-03      1.401753803259E-03      5.564555673303E-03      1.949403223095E-06      7.233167058323E-13      5.009014007280E-20      3.271930798705E-30      5.453828642776E-36      7.258949936233E-36      7.030456498721E-35
   81.113083      3.055885677992E-34      8.125825659161E-36      9.448859173590E-31      2.202752844023E-20      4.207745061418E-13      1.500012951613E-06      4.924497880642E-03      1.218802459392E-03      4.924497880642E-03      1.500012951613E-06      4.207745061547E-13      2.202752845179E-20      9.449321637427E-31      2.825302566305E-35      5.498257398339E-36      2.423561998024E-34
   86.974900      1.645956907254E-33      2.616257447881E-34      2.736627735192E-31      9.685732981023E-21      2.447300092622E-13      1.153925975419E-06      4.356782485006E-03      1.059765424055E-03      4.356782485006E-03      1.153925975419E-06      2.447300092664E-13      9.685732983936E-21      2.734937113638E-31      3.639672765515E-34      2.320677375127E-34      1.288235464273E-33
   93.260335      2.567206598286E-35      3.800535303591E-36      7.882930067377E-32      4.258398775547E-21      1.423116667478E-13      8.874674365638E-07      3.853420595336E-03      9.215086013276E-04      3.853420595336E-03      8.874674365638E-07      1.423116667491E-13      4.258398776280E-21      7.883162994209E-32      4.547656280628E-36      2.235837913402E-36      2.099460272444E-35
  100.000000      1.364068213225E-35      2.398025447977E-37      2.276968874521E-32      1.871984810530E-21      8.273863636792E-14      6.823708436866E-07      3.407277643709E-03      8.013104600461E-04      3.407277643709E-03      6.823708436866E-07      8.273863636837E-14      1.871984810715E-21      2.277278451170E-32      8.108209687000E-37      1.491418821740E-37      1.115502428589E-35
